interval,content,n_tweets,with_retweets
2023-03-07,Only BBC,20015,FALSE
2023-03-07,Only Lineker,1086,FALSE
2023-03-07,Both,433,FALSE
2023-03-07,Only BBC,66174,TRUE
2023-03-07,Only Lineker,7414,TRUE
2023-03-07,Both,5008,TRUE
2023-03-08,Only BBC,32700,FALSE
2023-03-08,Only Lineker,18357,FALSE
2023-03-08,Both,15193,FALSE
2023-03-08,Only BBC,157983,TRUE
2023-03-08,Only Lineker,113737,TRUE
2023-03-08,Both,120243,TRUE
2023-03-09,Only BBC,36794,FALSE
2023-03-09,Only Lineker,21822,FALSE
2023-03-09,Both,16823,FALSE
2023-03-09,Only BBC,125537,TRUE
2023-03-09,Only Lineker,110932,TRUE
2023-03-09,Both,113160,TRUE
2023-03-10,Only BBC,117936,FALSE
2023-03-10,Only Lineker,46429,FALSE
2023-03-10,Both,62014,FALSE
2023-03-10,Only BBC,674496,TRUE
2023-03-10,Only Lineker,306078,TRUE
2023-03-10,Both,549361,TRUE
2023-03-11,Only BBC,129584,FALSE
2023-03-11,Only Lineker,60816,FALSE
2023-03-11,Both,75497,FALSE
2023-03-11,Only BBC,467347,TRUE
2023-03-11,Only Lineker,271005,TRUE
2023-03-11,Both,358583,TRUE
2023-03-12,Only BBC,67634,FALSE
2023-03-12,Only Lineker,34468,FALSE
2023-03-12,Both,31680,FALSE
2023-03-12,Only BBC,232488,TRUE
2023-03-12,Only Lineker,133740,TRUE
2023-03-12,Both,135159,TRUE
2023-03-13,Only BBC,49889,FALSE
2023-03-13,Only Lineker,24910,FALSE
2023-03-13,Both,26515,FALSE
2023-03-13,Only BBC,200822,TRUE
2023-03-13,Only Lineker,84550,TRUE
2023-03-13,Both,103326,TRUE
2023-03-14,Only BBC,32066,FALSE
2023-03-14,Only Lineker,10012,FALSE
2023-03-14,Both,7717,FALSE
2023-03-14,Only BBC,159392,TRUE
2023-03-14,Only Lineker,35021,TRUE
2023-03-14,Both,30782,TRUE
2023-03-15,Only BBC,25736,FALSE
2023-03-15,Only Lineker,8226,FALSE
2023-03-15,Both,3401,FALSE
2023-03-15,Only BBC,107330,TRUE
2023-03-15,Only Lineker,29029,TRUE
2023-03-15,Both,11333,TRUE
