franchise	code_official	code_common
Arizona Cardinals	ARZ	ARI
Atlanta Falcons	ATL	ATL
Baltimore Ravens	BLT	BAL
Buffalo Bills	BUF	BUF
Carolina Panthers	CAR	CAR
Chicago Bears	CHI	CHI
Cincinnati Bengals	CIN	CIN
Cleveland Browns	CLV	CLE
Dallas Cowboys	DAL	DAL
Denver Broncos	DEN	DEN
Detroit Lions	DET	DET
Green Bay Packers	GB	GB
Houston Texans	HST	HOU
Indianapolis Colts	IND	IND
Jacksonville Jaguars	JAX	JAX
Kansas City Chiefs	KC	KC
Las Vegas Raiders	LV	LV
Los Angeles Chargers	LAC	LAC
Los Angeles Rams	LA	LAR
Miami Dolphins	MIA	MIA
Minnesota Vikings	MIN	MIN
New England Patriots	NE	NE
New Orleans Saints	NO	NO
New York Giants	NYG	NYG
New York Jets	NYJ	NYJ
Philadelphia Eagles	PHI	PHI
Pittsburgh Steelers	PIT	PIT
San Francisco 49ers	SF	SF
Seattle Seahawks	SEA	SEA
Tampa Bay Buccaneers	TB	TB
Tennessee Titans	TEN	TEN
Washington Commanders	WAS	WSH
